URL;Precio;Area;Latitud;Longitud
https://urbania.pe/inmueble/proyecto-vizuale-lince-lima-lince-ortiz-inmobiliaria-4416;US$ 94,659;45.04-76.41;-77.034098945281;-12.08852477322
https://urbania.pe/inmueble/proyecto-residencial-egusquiza-lima-pueblo-libre-varsovia-sa-3838;US$ 108,309;67.80-153.00;-77.06333974;-12.072692238
https://urbania.pe/inmueble/proyecto-midtown-fase-1-lima-cercado-de-lima-grupo-lar-4253;US$ 82,404;49.55-67.96;-77.034961349677;-12.056068965476
https://urbania.pe/inmueble/proyecto-bustamante-once-lima-barranco-morada-4482;US$ 99,000;44.00-89.00;-77.019606620815;-12.141130332917
https://urbania.pe/inmueble/proyecto-malecon-b-lima-miraflores-cj-inmobiliaria-4407;US$ 339,000;122.00-320.00;-77.0330011;-12.1242583
https://urbania.pe/inmueble/proyecto-lord-nelson-345-lima-miraflores-cj-inmobiliaria-4221;US$ 395,500;150.00-290.00;-77.039745215405;-12.111985122069
https://urbania.pe/inmueble/proyecto-tu-casa-la-mejor-inversion-la-libertad-viru-negociaciones-multiples--4481;US$ 18,991;120.00;-78.8006049;-8.4122686
https://urbania.pe/inmueble/proyecto-pronta-entrega-vittoria2-desde-s217000-lima-pueblo-libre-tf-inmobiliaria-4072;US$ 64,392;45.00-114.00;-77.0532382;-12.0683283
https://urbania.pe/inmueble/proyecto-san-isidro-limatambo-cerca-a-parque-lima-san-isidro-hogares-constructores-4427;US$ 204,900;90.00-224.00;-77.023274;-12.0986845
https://urbania.pe/inmueble/proyecto-edificio-residencial-las-acacias--lindos-departamentos-en-pre-venta-piura-piura-conladsac-4465;US$ 38,000;28.07-117.09;-80.633181833188;-5.1962147916469
https://urbania.pe/inmueble/proyecto-proyecto-campos-y-edificio-seguin-lima-santiago-de-surco-gs-proyecto-inmobiliario-sac-4284;US$ 241,000;120.06-237.26;-76.9854125;-12.1277653
https://urbania.pe/inmueble/proyecto-centro-empresarial-abril-oficinas-en-miraflores-lima-miraflores-abril-grupo-inmobiliario-mas-que-departamentos-verdaderos-hogares-3096;US$ 234,739;98.63-140.69;-77.031897509;-12.11689286
https://urbania.pe/inmueble/proyecto-edificio-foresta-lima-ate-triada-2344;US$ 71,513;50.48-78.21;-76.983883443;-12.083102414
https://urbania.pe/inmueble/proyecto-edificio-novo-brena-lima-brena-triada-2397;US$ 66,083;48.58-70.99;-77.05208005;-12.064577315
https://urbania.pe/inmueble/proyecto-residencial-santa-fe-lima-pueblo-libre-cumbres-andinas-grupo-inmobiliario--3840;US$ 92,059;50.98-66.53;-77.063938619;-12.078339569
https://urbania.pe/inmueble/proyecto-san-sebastian-lima-pueblo-libre-cumbres-andinas-grupo-inmobiliario--4422;US$ 76,271;56.72-150.00;-77.066107305034;-12.083246696265
https://urbania.pe/inmueble/proyecto-edificio-liberta-lima-jesus-maria-triada-3959;US$ 88,872;51.00-83.60;-77.054513876331;-12.076340727402
https://urbania.pe/inmueble/proyecto-residencial-los-abies-de-salamanca-lima-ate-r-d-vegas-inm-sac-4155;US$ 71,187;53.33-71.09;-76.981744091328;-12.081652556234
https://urbania.pe/inmueble/proyecto-miraflores-332-lima-miraflores-concyssa-promotora-inmobiliaria-sac-797;US$ 370,920;150.56-190.29;-77.039321945312;-12.109901079315
https://urbania.pe/inmueble/proyecto-mural-pueblo-libre-lima-pueblo-libre-concyssa-promotora-inmobiliaria-sac-3248;US$ 67,953;42.00-138.44;-77.05970233759;-12.068437177466
https://urbania.pe/inmueble/proyecto-here-lima-santiago-de-surco-concyssa-promotora-inmobiliaria-sac-4305;US$ 182,493;108.00-221.00;-76.9970446;-12.144283
https://urbania.pe/inmueble/proyecto-magna-haus-lima-santiago-de-surco-arquimia-3850;US$ 134,184;48.12-172.80;-76.964113645294;-12.102272748101
https://urbania.pe/inmueble/proyecto-mirador-palatino-casa-club-lima-magdalena-del-mar-inverplus-4106;US$ 70,300;42.00-133.00;-77.0667664;-12.0910328
https://urbania.pe/inmueble/proyecto-altaluz-condominio-ecoamigable-callao-callao-besco-sac-1848;;53.00-139.00;-77.125043919;-12.050607306
https://urbania.pe/inmueble/proyecto-parque-cordova-658-lima-miraflores-grupo-em-2942;US$ 312,650;120.25-354.51;-77.045346056;-12.112186273
https://urbania.pe/inmueble/proyecto-malecon-balta-1090-lima-miraflores-grupo-em-4353;;172.94-342.52;-77.035616559802;-12.125964057787
https://urbania.pe/inmueble/proyecto-vitale-lima-san-miguel-edificaciones-inmobiliarias-4463;US$ 104,748;70.00-159.00;-77.077329751517;-12.080128123507
https://urbania.pe/inmueble/proyecto-proyecto-mirador-lima-magdalena-del-mar-grupo-em-3772;US$ 106,588;50.21-113.29;-77.063054125721;-12.10003284525
https://urbania.pe/inmueble/proyecto-flat-sky-towers-lince-2-oficinas-implementadas-con-entrada-independiente-entrega-inmediata-lima-lince-flat-inmobiliaria-sac-2743;US$ 275,964;143.00-165.00;-77.0357761;-12.0853194
https://urbania.pe/inmueble/proyecto-buenavista-ii-liquidacion-ultimos-departamentos-lima-san-miguel-constructora-hmc-4323;;95.00-175.00;-77.0947362;-12.0735575
https://urbania.pe/inmueble/proyecto-flat-beehive-ultimas-oficinas-lima-lince-flat-inmobiliaria-sac-441;US$ 166,172;87.00-128.00;-77.035845;-12.083621
https://urbania.pe/inmueble/proyecto-edificio-los-castanos-entrega-inmediata-lima-san-isidro-la-venturosa-1746;US$ 231,368;111.78-116.06;-77.050482870213;-12.094305412098
https://urbania.pe/inmueble/proyecto-condominio-los-defensores-los-depas-amplios-de-chorrillos-lima-chorrillos-la-venturosa-2471;US$ 84,809;72.14-77.33;-77.017226433405;-12.176009048752
https://urbania.pe/inmueble/proyecto-edificio-nova-los-depas-amplios-al-mejor-precio-x-m2-lima-lince-la-venturosa-3018;US$ 99,884;80.04-82.33;-77.028652152857;-12.079402381297
https://urbania.pe/inmueble/proyecto-condominio-bella-flora-desde-s-1717-mensuales-bono-verde-lima-santiago-de-surco-la-venturosa-4009;US$ 60,430;44.26-110.42;-76.993253164032;-12.170724227105
https://urbania.pe/inmueble/proyecto-aliaga-650-lima-magdalena-del-mar-vv-grupo-inmobiliario-4394;US$ 100,000;46.00-110.00;-77.058472;-12.091344
https://urbania.pe/inmueble/proyecto-parque-san-martin-lima-pueblo-libre-tale-inmobiliaria-4436;US$ 70,677;42.51-160.83;-77.0647285;-12.0697561
https://urbania.pe/inmueble/proyecto-cedrus-san-isidro-venta-directa-2-cdas-del-golf-lima-san-isidro-iniciativa-sac-3218;US$ 435,500;178.00-247.00;-77.0436654;-12.0961749
https://urbania.pe/inmueble/proyecto-llano-zapata-460-miraflores-entrega-inmediata-lima-san-isidro-constructora-titan-3138;US$ 660,000;277.00-358.00;-77.040560606946;-12.111082980082
https://urbania.pe/inmueble/proyecto-inclan-1010-miraflores-lima-miraflores-constructora-titan-4365;US$ 256,000;109.00-220.00;-77.031618338657;-12.109070362308
https://urbania.pe/inmueble/proyecto-voce-lima-la-victoria-my-home--4070;US$ 91,098;54.00-124.00;-77.013362655;-12.08728064
https://urbania.pe/inmueble/proyecto-sbn-226-lima-san-borja-my-home--4069;US$ 201,780;95.00-98.00;-77.008003423;-12.095166909
https://urbania.pe/inmueble/proyecto-novo-2-lima-jesus-maria-my-home--3568;US$ 115,727;75.00-86.00;-77.052560822;-12.08110288
https://urbania.pe/inmueble/proyecto-millenium-lima-la-victoria-my-home--3571;US$ 68,249;40.00-76.00;-77.012537307;-12.084255768
https://urbania.pe/inmueble/proyecto-paseo-la-campina-v-lima-chorrillos-arteco-4477;US$ 58,605;48.50-68.21;-76.9992459;-12.177372
https://urbania.pe/inmueble/proyecto-ocean-view-lima-san-miguel-fpi--4099;US$ 53,133;54.26-72.83;-77.0934017;-12.077493
https://urbania.pe/inmueble/proyecto-ibiza-lima-san-miguel-fpi--4088;US$ 46,683;52.97-70.36;-77.105616846;-12.080769264
https://urbania.pe/inmueble/proyecto-casa-club-lima-pueblo-libre-fpi--4098;US$ 110,309;79.33-85.33;-77.065323234393;-12.072427915591
https://urbania.pe/inmueble/proyecto-vista-mar-lima-pueblo-libre-fpi--4101;US$ 53,603;54.74-63.95;-77.0655415;-12.0787583
https://urbania.pe/inmueble/proyecto-nova-vida--san-martin-lima-san-martin-de-porres-fpi--4182;US$ 56,580;77.04-105.00;-77.096882;-11.9815573
https://urbania.pe/inmueble/proyecto-girasoles-ii-lima-el-agustino-fpi--4104;US$ 35,840;45.75-94.06;-76.990200331469;-12.036832034131
https://urbania.pe/inmueble/proyecto-side-lima-jesus-maria-senda-inmobiliaria-4428;US$ 67,699;40.00-142.00;-77.04440040734;-12.075004188693
https://urbania.pe/inmueble/proyecto-vemia-lima-santiago-de-surco-senda-inmobiliaria-4131;US$ 143,027;74.08-175.27;-77.007286481598;-12.13667899955
https://urbania.pe/inmueble/proyecto-fly-san-felipe-jesus-maria-lima-jesus-maria-senda-inmobiliaria-3245;US$ 78,351;37.00-155.00;-77.057969913336;-12.080631878467
https://urbania.pe/inmueble/proyecto-zentro-jesus-maria-lima-jesus-maria-senda-inmobiliaria-3244;US$ 104,095;55.00-83.00;-77.044253169;-12.075029514
https://urbania.pe/inmueble/proyecto-proyecto-met-lima-la-victoria-senda-inmobiliaria-3243;US$ 66,303;37.00-78.00;-77.025259206946;-12.084507530677
https://urbania.pe/inmueble/proyecto-lumiere-miraflores-a-un-paso-de-barranco-lima-miraflores-grupo-tyc-902;US$ 249,134;122.20-181.22;-77.021557117;-12.132136248
https://urbania.pe/inmueble/proyecto-iq-oficinas-lince-lima-lince-grupo-tyc-3789;US$ 65,104;38.42-61.97;-77.03478504;-12.083136234
